,Unnamed: 0,url,title,price,rating,description,"Brand,Seller,orCollectionName",Modelnumber,PartNumber,ItemShape,Dialwindowmaterialtype,DisplayType,Clasp,Casematerial,Casediameter,CaseThickness,BandMaterial,Bandwidth,BandColor,Dialcolor,Bezelfunction,Movement,Waterresistantdepth,ProductWarranty,Metalstamp,Bezelmaterial,Specialfeatures,Itemweight,Bandsize,Calendar,Warranty,ModelYear,Material,ItemLength,Width,Length,Chain,GemType,Setting,StoneWeight,Waterpressureresistance
300,300,https://www.amazon.com/Bulova-Classic-Quartz-Stainless-Two-Tone/dp/B000FTLVNG/ref=sr_1_181?keywords=bulova&qid=1692030894&sr=8-181,"Bulova Ladies' Classic Two-Tone Stainless Steel 3-Hand Quartz, White Dial Style: 98T84",187.5,4.5,"From the Classic Collection. Features two tone stainless steel watch with white dial and curved crystal with metallized rim and water resistance to 30 meters.   A bold design makes for surprising texture in this Bulova timepiece. The Bulova Women's Bracelet Watch features a polished brass band with raised, gold-tone edges and a silver-tone center. A brass case houses a silver-tone dial that's framed by a contoured silver-tone brass bezel. A gold-tone Bulova logo at the 12 o'clock position takes its place among the gold-tone stick hour indicators and gold-tone hands. The Bulova Women's Bracelet Watch is water resistant to 99 feet.   
  In 1875, a young Czech immigrant named Joseph Bulova set up shop in New York City, and a legendary American watch brand was born. Bulova was trained as a jeweler, and his expertise carried over into his watchmaking career, which began around 1911 with boudoir clocks and pocket watches, and soon evolved to include what was then one of the latest and most fashionable technological innovations: the wristwatch. Bulova introduced its first line of wristwatches in 1919. The company grew and prospered, and soon early radio and television ads were declaring, ""America runs on Bulova time."" In the 1950s, continuing its legacy of innovation, Bulova introduced Accutron, the first electronic watch, and the first breakthrough in timekeeping technology in over 300 years. The Accutron timing mechanism was later adapted for use by NASA computers and a Bulova timer was even placed on the moon to control transmissions of data. Bulova timepieces have kept official time aboard Air Force One and have also served as official timepieces for U.S. Olympic teams. Today, Bulova maintains its tradition of excellence in technology and design, offering a diverse collection of beautiful precision timepieces for every occasion.   Created in a blend of fashion and class, this Bulova timepiece exhibits a bold style that adds flare to your collection.   See more", Bulova , 98T84 , 98T84 , Round , Mineral , Analog , Jewelry Clasp , Brass , 22.5 millimeters , 6.4 millimeters , Stainless Steel , 13 millimeters , Two tone , Silver , Stationary , Japanese Quartz , 30 Meters ,,, Brass , Water Resistant , 1.92 Ounces , 7.5 inches , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2011.0,,,,,,,,,
301,301,https://www.amazon.com/Bulova-Latin-Grammy-Leather-Bracelet/dp/B08P2TGNTB/ref=sr_1_183?keywords=bulova&qid=1692030894&sr=8-183,Bulova Jewelry Men's Latin GRAMMY Black Leather Leather Bracelet with Stainless Steel Tuning Fork Clasp,131.25,4.6,, Bulova , J98B009S ,,,,, Stainless Steel ,,,,,,,,,,,,,,,,,,,, Leather , 4.92 inches ,,, Braided Chain , no stone ,,,
302,302,https://www.amazon.com/Caravelle-Traditional-Stainless-Gold-Tone-Expansion/dp/B083Y62FK9/ref=sr_1_184?keywords=bulova&qid=1692030894&sr=8-184,"Caravelle Traditional Quartz Mens Watch, Stainless Steel",85.0,4.2,, Bulova , 44B126 , 44B126 , Round , Mineral , Analog , Fold-over-clasp-with-safety , Stainless Steel , 40.2 millimeters , 9.2 millimeters , Stainless Steel , 20 millimeters , Yellow , Gray , Stationary , Quartz , 30 Meters ,,, Stainless Steel , Arabic Numerals ,, Mens Standard , Date ," For warranty information about this product, please click here [PDF ] Warranty.pdf Update English [PDF 191 KB]  ",,,,,,,,,,
303,303,https://www.amazon.com/Bulova-97A160-Curv-Chronograph-Gold/dp/B09X73DHVV/ref=sr_1_185?keywords=bulova&qid=1692030894&sr=8-185,Bulova Men's CURV Chronograph Gold-Tone Stainless Steel Bracelet Watch | 41mm | 97A160,580.91,4.7,"The breakthrough excitement of the world's first curved chronograph movement continues, as Bulova once again reimagines what a watch should be. In 2020, a new Curved Tonneau case underscores the flowing lines of the CURV collection - while offering a distinct new aesthetic - once again, making a design statement backed by technology innovation. It features a gold-tone stainless steel tonneau-shaped case and champagne dial finished with a curved sapphire crystal and an anti-reflective coating. It is paired with a gold-tone stainless steel bracelet and deployant push button closure for a seamless design. This luxury men's watch will feel as innovative and unique in the future as it does today, a perfect accessory for any occasion.41mm gold-tone stainless steel tonneau caseExhibition case backNR20 quartz movement with eleven jewelsGold-tone stainless steel bracelet with push-button deployant closureGold-tone chronograph dial with luminous accentsDouble curved sapphire crystal with anti-reflective coatingWater resistance up to 30 metersBulova Style #: 97A160", Bulova , 97A160 , 97A160 , Tonneau , Sapphire Crystal , Analog , Push Button Deployment Clasp , 42 mm , 42 millimeters , 10.1 millimeters , Stainless Steel , 25 millimeters , Gold , Champagne (Skeleton Center) , Stationary , Quartz , 50 Meters ," For warranty information about this product, please click here ", no-metal-stamp , Fixed , Chronograph ,,,,,,,,,,,,,,
305,305,https://www.amazon.com/Bulova-Special-Chronograph-Leather-98A186/dp/B071GS2CW6/ref=sr_1_188?keywords=bulova&qid=1692030894&sr=8-188,"Bulova Men's Archive Series Lunar Pilot 6-Hand Chronograph Precisionist Black Ion-Plated Stainless Steel, Black NATO Strap and Sapphire Crystal Style: 98A186",521.5,4.6,"Special Edition Lunar Pilot Chronograph Watch from the Archive Series Six-hand chronograph movement features proprietary high-performance quartz technology with 262 kHz vibrational frequency for precise accuracy. In stainless steel with matte black IP finish, black dial with white accents, anti-reflective curved sapphire crystal, black leather NATO-style strap with three-piece buckle closure, and water resistance to 50 meters.   Six-hand chronograph movement features proprietary high-performance quartz technology with 262 kHz vibrational frequency for precise accuracy. In stainless steel with matte black IP finish, black dial with white accents, anti-reflective curved sapphire crystal, black leather NATO-style strap with three-piece buckle closure, and water resistance to 50 meters. Presented in boxed package with certificate of authenticity. Diameter: 45mm Thickness: 13.5mm $595", Bulova , 98A186 , 98A186 , Round , Sapphire Crystal , Analog , Fold-Over Clasp with Safety , Stainless Steel , 45 millimeters , 13.5 millimeters , Leather , 20 millimeters , Black , Black , Stationary , Quartz , 165 Feet ,, no-metal-stamp , Stainless Steel , Scratch-Resistant , 3.98 Ounces , Men's Standard , Day-Date-Month , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
306,306,https://www.amazon.com/Bulova-98R273-Millenia-Womens-Stainless/dp/B07Q481KQQ/ref=sr_1_187?keywords=bulova&qid=1692030894&sr=8-187,Bulova Ladies Modern Diamond Quartz Stainless Steel Bracelet Watch,288.0,4.1,, Bulova , 98R273 , 98R273 , Round , Mineral , Analog , Push Button Deployment Clasp , Stainless Steel , 32 millimeters , 7.5 millimeters , Stainless Steel , 17 millimeters , Two tone , Blue , Stationary , Quartz , 30 Meters ,,, Stainless Steel ,, 3.17 Ounces , Womens Standard ,, Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
307,307,https://www.amazon.com/Bulova-Dress-Watch-Model-98B337/dp/B07PR9ZQ35/ref=sr_1_186?keywords=bulova&qid=1692030894&sr=8-186,Bulova Men's Classic Sport Stainless Steel 6-Hand Chronograph Quartz Watch with 44mm Dial,371.25,4.4,, Bulova , 98B337 , 98B337 , Round , Mineral Glass , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 44 millimeters , 11.48 millimeters , Stainless Steel , 22 millimeters , Gray , Black , Stationary , Quartz Chronograph , 100 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
308,308,https://www.amazon.com/Bulova-Jewelry-Leather-Bracelet-Stainless/dp/B0C9N41631/ref=sr_1_190?keywords=bulova&qid=1692030894&sr=8-190,"Bulova Men's Jewelry Marine Star Black Leather Braided Bracelet, Tuning Fork Shape Stainless Steel Clasp, Size Medium, Size Large Style: BVB1046-SBSTNA",120.0,Previous page of related Sponsored Products,"Inspired by nautical ropes, this braided leather bracelet in classic black offers endless layering possibilities and is available in both 8.5"" and 9"" lengths. Anchored by a polished stainless steel clasp in our signature tuning fork shape and subtly etched with the Bulova brand name.", Bulova ,,,,,, Hook ,,,,,,,,,,,,,,,,,,,, Leather ,,,, Braided Chain , no gemstone ,,,
310,310,https://www.amazon.com/Bulova-97F52-Diamond-Accented-Gold-Tone/dp/B000HX2WY2/ref=sr_1_191?keywords=bulova&qid=1692030894&sr=8-191,"Bulova Men's Classic Gold Tone Stainless Steel 3-Hand Date Quartz Watch, Diamond Dial Style: 97F52",361.25,4.5,"From the Classic Collection Stainless steel case with new three-hand day/date feature, silver-white dial with silver-tone hands and markers, domed mineral glass, and stainless steel bracelet with short fold-over double-push closure.   Make an impression in this handsome midsize Bulova dress watch, crafted from goldtone steel and accented with genuine diamonds. A handsome brick link bracelet, made up of alternating textured and polished pieces, leads to a champagne dial featuring tapered goldtone hands, a sweep seconds hand, and twelve genuine diamond markers. Richly textured and designed with bold masculine lines, this watch is the perfect complement to your dressier attire. It features precise Japanese quartz movement and is rated water resistant to 30 meters   
  In 1875, a young Czech immigrant named Joseph Bulova set up shop in New York City, and a legendary American watch brand was born. Bulova was trained as a jeweler, and his expertise carried over into his watchmaking career, which began around 1911 with boudoir clocks and pocket watches, and soon evolved to include what was then one of the latest and most fashionable technological innovations: the wristwatch. Bulova introduced its first line of wristwatches in 1919. The company grew and prospered, and soon early radio and television ads were declaring, ""America runs on Bulova time."" In the 1950s, continuing its legacy of innovation, Bulova introduced Accutron, the first electronic watch, and the first breakthrough in timekeeping technology in over 300 years. The Accutron timing mechanism was later adapted for use by NASA computers and a Bulova timer was even placed on the moon to control transmissions of data. Bulova timepieces have kept official time aboard Air Force One and have also served as official timepieces for U.S. Olympic teams. Today, Bulova maintains its tradition of excellence in technology and design, offering a diverse collection of beautiful precision timepieces for every occasion.   See more", Bulova , 97F52 , 97F52 , Rectangular , Mineral , Analog , Jewelry Clasp , Stainless Steel , 27 millimeters , 8 millimeters , Stainless Steel , 25 millimeters , Gold , Gold , Stationary , Japanese Quartz , 99 Feet ,,, Stainless Steel , Water Resistant ,, Mens Standard , Day-Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2011.0,,,,,,,,,
311,311,https://www.amazon.com/Bulova-98B152-Precisionist-Analog-Chronograph/dp/B0058YYHGQ/ref=sr_1_192?keywords=bulova&qid=1692030894&sr=8-192,Bulova Men's Precisionist 3-Hand Calendar Rose Gold Stainless Steel Watch with Black Polyurethane Strap Style: 98B152,407.65,4.8,"The Precisionist collection masterfully combines unparalleled accuracy to seconds per year, continuous-sweep second hand and intricate details for timeless style. In stainless steel with black and rose-gold ion plated finish, curved crystal, multiple-layer black carbon fiber, black and rose-gold dial, continuously sweeping second hand, luminous hour and minute hands, luminous markers, curved calendar window, 24-hour track, screw-back case, screw-down crown, and patterned black rubber strap. Powered by Bulova's proprietary three-prong quartz crystal Precisionist movement with a 262kHz vibrational frequency--eight times greater than standard quartz watches--for unparalleled accuracy.   From the Precisionist Collection. Featuring Bulova’s proprietary Precisionist quartz accuracy, in stainless steel with black and rose-gold ion-plated finish, curved crystal, multiple-layer black carbon fiber, black and rose-gold dial, red continuously sweeping second hand, luminous hour and minute hands, luminous markers, curved calendar window, 24-hour track, screw-back case, screw-down crown, patterned black rubber strap and water resistance to 300 meters.Precisionist TechnologyAt the heart of the watch is the Bulova Precisionist-class torsional resonator movement, custom-engineered to provide accuracy to within seconds a year using a three-prong quartz crystal that creates a vibration frequency of 262.144 kHz, the highest of any watch in the world and far greater than that of a standard quartz crystal. In laboratory testing, the Precisionist-class movement has been shown to be three times more accurate than standard quartz. This proprietary manufactured movement, including the signature floating second hand, also offers a resistance to gravitational error that makes it superior in performance to any mechanical watch on the market.Summary of FeaturesOne of the world’s most accurate movements – accurate to within seconds a yearPrecisionist-class torsional resonator movement proven in laboratory testing to be three times more accurate than standard quartzStainless steel case with black and rose-gold ion-plated finishCurved mineral crystalMultiple-layer black carbon fiber, black, and rose-gold dialRed continuously sweeping second handLuminous hour and minute handsLuminous markersCurved calendar windowScrew-back caseScrew-down crownBlack rubber strapWater resistant to 300 metersAbout BulovaIn 1875, Joseph Bulova, a 23-year-old immigrant, set up shop in New York City and a legendary American watch brand was born. Since then, Bulova has stood proudly in the vanguard of timekeeping innovation, committed to the legacy of creativity and excellence established by its founder.A pioneering force in the industry, Bulova transformed how watches were worn and how time was perceived, registering over 50 patents as he and his company built a record of creativity including the first full lines of men’s (1919) and ladies’ (1924) wristwatches, the first clock/radio (1928) and the first electric clock (1931). To ensure the utmost in precision, in 1920, Bulova even established its own observatory – located atop its New York skyscraper. With that same spirit of innovation, following World War II, determined “to serve those who served us,” Bulova established The Bulova School of Watchmaking, using new and unique methods to train disabled veterans for positions in the watch and jewelry industry. Then, in 1960, Bulova changed timekeeping forever with the revolutionary Accutron, the world’s first fully electronic watch. An integral component of U.S. space technology, Accutron timing was used on 46 NASA missions, including Apollo XI, the first lunar landing (1969).Today, as one of the world’s most recognized brands, Bulova has expanded across the globe, with four separate watch brands, Bulova, Bulova AccuSwiss, Bulova Accutron II and Caravelle New York, as well as the award-winning Bulova Clocks.The signature Bulova brand provides an extensive selection of watches for every occasion, crafted of the finest materials, including 315L surgical grade stainless steel, diamonds, mother-of-pearl, carbon fiber, top-quality leather and Bulova’s proprietary Duramic nylon/ceramic composite, and powered by Precisionist-class quartz, automatic and quartz movements. An industry leader in diamond watch styling, with the new Diamond Gallery offering exquisite designs in stainless steel with sapphire crystals, Bulova is also known for Precisionist, featuring Bulova’s proprietary Precisionist-class quartz torsional resonator movement for accuracy to within seconds per year, the Marine Star collection, combining high-performance sports timekeeping with superior durability and water resistance to a minimum of 100 meters, and a comprehensive selection of classic styles, each with a three-year limited warranty.", Bulova , 98B152 , 98B152 , Round , Mineral , Analog , Buckle , Stainless Steel , 44.6 millimeters , 14.43 millimeters , Polyurethane , 24 millimeters , Black , Black , Stationary , Quartz , 300 Meters ,, no-metal-stamp , Stainless Steel ," Chronograph, Second Hand ", 9.44 Ounces , Mens-Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2011.0,,,,,,,,,
